Video_ID,Title,Channel,Views,Likes,Comments,Publish_Date,Category
v1,AI Revolution in 2025,TechWorld,2542004,43236,15531,2024-11-30,Technology
v2,Best Coding Practices,CodeMaster,4215579,158295,10169,2023-04-02,Education
v3,Top 10 Gadgets of 2024,GadgetGuru,625169,111812,5466,2024-01-25,Tech Reviews
v4,How to Start a Startup,Startup101,2792569,127915,19985,2024-12-09,Business
v5,SpaceX's Latest Mars Mission,SpaceExplorer,710961,138843,14255,2024-06-16,Science
v6,Cryptocurrency in 2024,CryptoKing,4921510,128071,17554,2023-05-12,Finance
v7,The Future of Electric Cars,AutoTrends,1695499,18979,3118,2023-03-30,Automobile
v8,React vs Angular vs Vue,DevTalks,970264,13310,5535,2023-05-11,Programming
v9,Mastering Data Science,DataNerd,3975103,65558,17014,2024-02-02,Data Science
v10,Top 5 Productivity Apps,LifeHacks,3435246,163230,24590,2025-03-12,Productivity
v11,How to Get Better at DSA,AlgoMaster,4759857,49078,21297,2024-04-14,Education
v12,Neural Networks Explained,AIExplained,2111174,57965,22388,2024-07-30,AI & ML
v13,Behind the Scenes of a YouTuber,VlogLife,1711047,82684,6050,2023-11-25,Lifestyle
v14,Best Laptops for Developers,DevTech,2587582,191409,21980,2023-10-28,Tech Reviews
v15,The Rise of Metaverse,MetaVision,2193287,144837,1991,2025-01-09,Virtual Reality
v16,Python for Automation,Pythonista,2951558,189073,21167,2023-09-26,Programming
v17,Stock Market Predictions,StockGuru,3144438,116963,15291,2024-05-16,Finance
v18,VR Gaming Trends,GameZone,4454373,104411,5320,2023-11-04,Gaming
v19,AI-Powered Chatbots,ChatbotWorld,4359819,169005,4708,2024-01-02,AI & ML
v20,Cybersecurity in 2025,CyberShield,3568148,72487,23319,2023-05-24,Cybersecurity
